id,P_inj_bar,imep_bar,diesel_percentage,cookingoil_percentage,EGR_percentage,AFR, CO2_percentage,NOx_ppm,Soot_[mg/m^3]
1,1000,2,100,0,3.029028,146.6415,1.371234,308.648,0.3570807453
2,1000,2,75,25,2.661026,133.36331,1.509946,321.12181,0.2888342541
3,1000,2,25,75,2.970396,150.56677,1.33651,284.50555,0.1800529801
4,1000,2,0,100,2.948899,150.130115,1.34384,270.350385,0.09737748344
5,1000,4,100,0,1.537563,75.816781,2.683509,535.023945,0.3663782051
6,1000,4,75,25,1.567135,79.692551,2.54131,534.896585,0.2765320513
7,1000,4,25,75,1.532617,78.499162,2.593649,565.12613,0.2080066225
8,1000,4,0,100,1.518989,78.406841,2.594004,582.83329,0.1304172185
9,1000,6,100,0,1.041078,51.71386,3.965556,850.10705,0.3904615385
10,1000,6,75,25,1.009162,51.850045,3.952521,888.58935,0.2573311258
11,1000,6,25,75,1.022835,53.090975,3.864243,904.574625,0.1844304636
12,1000,6,0,100,1.01106,52.630972,3.897859,952.147965,0.1160512821
13,1000,8,100,0,0.778079,38.933673,5.307824,1138.74485,0.3503043478
14,1000,8,75,25,0.773036,39.733236,5.192586,1180.0762,0.2157086093
15,1000,8,25,75,0.759374,39.63723,5.220251,1227.9125,0.1630492958
16,1000,8,0,100,0.764235,40.03862,5.155136,1284.5805,0.1002980132
17,1000,10,100,0,0.618635,31.270537,6.663051,1349.14125,0.2668362573
18,1000,10,75,25,0.596018,31.197885,6.664274,1440.1295,0.1752435897
19,1000,10,25,75,0.595383,31.507842,6.609892,1497.4744,0.1227047619
20,1000,10,0,100,0.604636,32.007448,6.509617,1561.0715,0.07592715232
21,1500,2,100,0,2.902089,141.90038,1.417746,390.117495,0.2917204969
22,1500,2,75,25,2.943258,148.98811,1.353032,365.35214,0.2626217949
23,1500,2,25,75,2.888243,147.16305,1.368526,359.086365,0.1823178808
24,1500,2,0,100,2.88723,147.490595,1.367719,338.11262,0.09237671233
25,1500,4,100,0,1.487925,73.228379,2.777947,731.59309,0.219173913
26,1500,4,75,25,1.485532,75.902564,2.679109,728.32987,0.1888211921
27,1500,4,25,75,1.466253,75.452141,2.698003,741.534975,0.1608675497
28,1500,4,0,100,1.487121,77.092594,2.64081,738.72064,0.09807236842
29,1500,6,100,0,1.011782,50.329617,4.077709,1181.4549,0.2429796954
30,1500,6,75,25,1.005496,51.96094,3.951186,1200.3567,0.1817880795
31,1500,6,25,75,0.999333,51.891446,3.952509,1227.5436,0.1441125828
32,1500,6,0,100,1.010576,52.775055,3.887463,1250.3105,0.09596688742
33,1500,8,100,0,0.759811,38.296368,5.4026,1554.214,0.2229813665
34,1500,8,75,25,0.736444,38.519544,5.36903,1619.29955,0.1643642384
35,1500,8,25,75,0.737639,38.67242,5.352066,1683.6944,0.1247564103
36,1500,8,0,100,0.75713,40.01036,5.166349,1738.1115,0.08370807453
37,1500,10,100,0,0.616631,31.148103,6.6871,1852.9153,0.175513812
38,1500,10,75,25,0.597999,31.509449,6.614774,1931.46535,0.1181730769
39,1500,10,25,75,0.584079,30.934401,6.74025,2034.3605,0.09422516556
40,1500,10,0,100,0.599758,31.716472,6.569217,2136.72175,0.065
41,2000,2,100,0,3.22759,158.07632,1.270924,380.59024,0.278240964
42,2000,2,75,25,3.034581,154.03696,1.305104,387.65502,0.2557086093
43,2000,2,25,75,2.835894,144.0885,1.396673,408.66781,0.1679668874
44,2000,2,0,100,2.779949,142.549535,1.412995,388.570355,0.09330128205
45,2000,4,100,0,1.567127,77.832539,2.610402,806.12841,0.1977884615
46,2000,4,75,25,1.531611,78.241157,2.599072,795.275475,0.1704039735
47,2000,4,25,75,1.361707,70.560902,2.887107,924.60051,0.1244966887
48,2000,4,0,100,1.483916,76.723575,2.649317,845.2001,0.08662251656
49,2000,6,100,0,1.063646,53.193538,3.854118,1363.23325,0.210557692
50,2000,6,75,25,1.060855,54.765915,3.741729,1340.44725,0.1458012048
51,2000,6,25,75,0.923587,48.195451,4.264945,1560.3212,0.1267152318
52,2000,6,0,100,0.981174,51.553459,3.982177,1492.4155,0.08517218543
53,2000,8,100,0,0.792095,40.284615,5.129404,1839.6495,0.188
54,2000,8,75,25,0.776211,40.579675,5.091343,1906.0376,0.126
55,2000,8,25,75,0.734169,38.64278,5.357358,2040.2885,0.1033245033
56,2000,8,0,100,0.738559,38.931439,5.313195,2107.2233,0.07255629139
57,2000,10,100,0,0.635272,32.407906,6.421839,2263.7593,0.11874269
58,2000,10,75,25,0.596712,31.518962,6.618371,2398.99095,0.09779807692
59,2000,10,25,75,0.587951,31.393146,6.631079,2477.21645,0.07684615385
60,2000,10,0,100,0.581077,30.891266,6.752732,2626.54735,0.05729801325
,1500,6,50,50,1.359953267,,3.972330683,1163.886145,0.171931812
,1000,2,0,0,0.581077,,1.270924,270.350385,0.05729801325
,2000,10,100,100,3.22759,,6.752732,2626.54735,0.3904615385
,411.6934848,2.852296131,39.86205026,39.86205026,0.8500777146,,1.870364211,646.2393713,0.0822397265
,,,,,,,,,
,,,,,,,,,
,1500,6,50,50,1.359953267,,3.972330683,1163.886145,0.171931812
,1000,2,0,0,0.581077,,1.270924,270.350385,0.05729801325
,2000,10,100,100,3.22759,,6.752732,2626.54735,0.3904615385
,411.6934848,2.852296131,39.86205026,39.86205026,0.8500777146,,1.870364211,646.2393713,0.0822397265